"RmRecNbr","dept_descr","rmtyp_descr50"
"2035265","Institutional Org","Mechanical Area"
"2035266","Institutional Org","Mechanical Area"
"2035268","Institutional Org","Circulation Area"
"2035269","Institutional Org","Circulation Area"
"2035270","School of Education","Office Service"
"2035271","School of Education","Office Service"
"2035272","Institutional Org","Circulation Area"
"2035273","Institutional Org","Circulation Area"
"2035274","Institutional Org","Circulation Area"
"2035275","Institutional Org","Circulation Area"
"2035276","Institutional Org","Circulation Area"
"2035277","Institutional Org","Circulation Area"
"2035279","Institutional Org","Circulation Area"
"2035280","Institutional Org","Circulation Area"
"2035281","Institutional Org","Circulation Area"
"2035282","Institutional Org","Circulation Area"
"2035283","Institutional Org","Circulation Area"
"2035284","Institutional Org","Circulation Area"
"2035285","Institutional Org","Circulation Area"
"2035286","Institutional Org","Circulation Area"
"2035287","Institutional Org","Circulation Area"
"2035288","Institutional Org","Circulation Area"
"2035290","Institutional Org","Circulation Area"
"2035291","Institutional Org","Circulation Area"
"2035292","Institutional Org","Circulation Area"
"2035293","Institutional Org","Circulation Area"
"2035294","Institutional Org","Circulation Area"
"2035296","Institutional Org","Circulation Area"
"2035297","Institutional Org","Circulation Area"
"2035298","Institutional Org","Circulation Area"
"2035299","Institutional Org","Circulation Area"
"2035300","Institutional Org","Circulation Area"
"2035301","Institutional Org","Mechanical Area"
"2035302","Institutional Org","Mechanical Area"
"2035303","Institutional Org","Mechanical Area"
"2035304","Institutional Org","Mechanical Area"
"2035305","Institutional Org","Mechanical Area"
"2035306","Institutional Org","Mechanical Area"
"2035307","Institutional Org","Mechanical Area"
"2035308","Institutional Org","Mechanical Area"
"2035309","School of Education","Office Service"
"2035310","School of Education","Office Service"
"2035311","School of Education","Office"
"2035312","School of Education","Office"
"2035313","School of Education","Office"
"2035314","School of Education","Office Service"
"2035315","School of Education","Office"
"2035316","School of Education","Office Service"
"2035317","School of Education","Office Service"
"2035318","School of Education","Office Service"
"2035319","Institutional Org","Public Restrooms"
"2035320","School of Education","Office"
"2035321","Institutional Org","Custodial Area"
"2035322","Institutional Org","Mechanical Area"
"2035338","School of Education","Office Service"
"2035339","School of Education","Conference Room"
"2035340","School of Education","Office"
"2035341","School of Education","Office"
"2035342","School of Education","Office"
"2035343","School of Education","Office"
"2035344","School of Education","Office"
"2035346","School of Education","Office Service"
"2035347","School of Education","Office Service"
"2035348","School of Education","Office"
"2035349","School of Education","Office"
"2035350","School of Education","Office"
"2035351","School of Education","Office"
"2035352","School of Education","Office"
"2035353","School of Education","Office Service"
"2035354","School of Education","Office Service"
"2035355","School of Education","Office"
"2035356","School of Education","Office"
"2035357","School of Education","Office"
"2035358","School of Education","Office Service"
"2035359","School of Education","Office"
"2035360","School of Education","Office"
"2035361","School of Education","Office Service"
"2035363","School of Education","Office"
"2035364","School of Education","Office Service"
"2035365","Institutional Org","Public Restrooms"
"2035366","School of Education","Classroom"
"2035367","Institutional Org","Custodial Area"
"2035368","School of Education","Conference Room"
"2035372","Institutional Org","Mechanical Area"
"2035373","School of Education","Office"
"2035374","School of Education","Office"
"2035375","School of Education","Office"
"2035376","School of Education","Office Service"
"2035377","School of Education","Office"
"2035378","School of Education","Office"
"2035379","School of Education","Office"
"2035380","School of Education","Office Service"
"2035381","School of Education","Office Service"
"2035382","School of Education","Office Service"
"2035383","School of Education","Office Service"
"2035384","School of Education","Office Service"
"2035385","School of Education","Office Service"
"2035386","School of Education","Office Service"
"2035389","School of Education","Office"
"2035390","School of Education","Office"
"2035391","School of Education","Office"
"2035392","School of Education","Office"
"2035393","School of Education","Office"
"2035394","School of Education","Office"
"2035395","School of Education","Office"
"2035396","School of Education","Office"
"2035397","School of Education","Office"
"2035399","School of Education","Office"
"2035407","School of Education","Office Service"
"2035408","Institutional Org","Custodial Area"
"2035409","Institutional Org","Public Restrooms"
"2035410","School of Education","Office Service"
"2035411","School of Education","Office"
"2035412","School of Education","Office"
"2035413","School of Education","Office"
"2035414","School of Education","Office"
"2035415","School of Education","Office"
"2035416","School of Education","Office"
"2035417","School of Education","Office Service"
"2035418","School of Education","Office Service"
"2035420","School of Education","Office"
"2035421","School of Education","Central Computer/Telecom Service"
"2035422","School of Education","Office Service"
"2035423","Institutional Org","Custodial Area"
"2035424","Institutional Org","Public Restrooms"
"2035425","School of Education","Conference Room"
"2035429","School of Education","Office"
"2035430","School of Education","Office"
"2035431","School of Education","Conference Room"
"2035432","School of Education","Office Service"
"2035433","School of Education","Office Service"
"2035434","School of Education","Office Service"
"2035435","School of Education","Office Service"
"2035436","School of Education","Lounge"
"2035438","Institutional Org","Mechanical Area"
"2035439","Institutional Org","Public Restrooms"
"2035440","School of Education","Conference Room"
"2035441","School of Education","Office Service"
"2035442","School of Education","Office Service"
"2035443","School of Education","Office Service"
"2035444","School of Education","Office"
"2035445","School of Education","Office"
"2035446","School of Education","Office"
"2035447","School of Education","Office"
"2035448","School of Education","Office"
"2035449","School of Education","Office"
"2035450","School of Education","Office Service"
"2035451","Institutional Org","Public Restrooms"
"2035452","School of Education","Office"
"2035453","School of Education","Office"
"2035454","School of Education","Office"
"2035455","School of Education","Office"
"2035456","School of Education","Office"
"2035457","School of Education","Office"
"2035458","School of Education","Office"
"2035459","School of Education","Office"
"2035460","School of Education","Office"
"2035461","School of Education","Office"
"2035462","Institutional Org","Mechanical Area"
"2035463","Institutional Org","Custodial Area"
"2035464","School of Education","Office"
"2035465","School of Education","Office Service"
"2035466","School of Education","Office"
"2035467","School of Education","Office Service"
"2035468","School of Education","Office"
"2035469","Institutional Org","Public Restrooms"
"2035470","School of Education","Office"
"2035471","School of Education","Office Service"
"2035472","School of Education","Office"
"2035473","School of Education","Office Service"
"2081420","Institutional Org","Mechanical Area"
"2081421","School of Education","Classroom Service"
"2081422","Institutional Org","Mechanical Area"
"2081588","School of Education","Meeting Room"
"2081589","School of Education","Meeting Room"
"2081590","School of Education","Meeting Room Service"
"2081591","School of Education","Meeting Room Service"
"2081592","School of Education","Office Service"
"2081593","Institutional Org","Circulation Area"
"2081634","School of Education","Office Service"
"2081635","School of Education","Meeting Room Service"
"2088015","School of Education","Office"
"2110372","Institutional Org","Mechanical Area"
"2111866","Institutional Org","Public Restrooms"
"2111868","Institutional Org","Public Restrooms"
"2111877","School of Education","Conference Room Service"
"2111878","School of Education","Office Service"
"2111879","School of Education","Meeting Room Service"
"2111881","School of Education","Office Service"
"2111882","School of Education","Office Service"
"2111883","Institutional Org","Circulation Area"
"2111885","Institutional Org","Circulation Area"
"2111888","Institutional Org","Mechanical Area"
"2111891","Institutional Org","Mechanical Area"
"2146660","School of Education","Office Service"
"2146661","School of Education","Office"
"2146662","School of Education","Office"
"2146663","School of Education","Office"
"2146664","School of Education","Office"
"2146665","School of Education","Office"
"2146666","School of Education","Conference Room"
"2146667","School of Education","Office"
"2146668","School of Education","Office"
"2148149","Institutional Org","Circulation Area"
"2165751","School of Education","Office Service"
"2165752","School of Education","Office Service"
"2165753","School of Education","Office"
"2165754","School of Education","Office"
"2165755","School of Education","Office"
"2165756","School of Education","Office"
"2165757","School of Education","Office Service"
"2165758","School of Education","Office"
"2165759","School of Education","Conference Room"
"2165760","School of Education","Office"
"2165765","School of Education","Office"
"2165766","School of Education","Office"
"2165768","School of Education","Office Service"
"2165769","School of Education","Office Service"
