,BldRecNbr_RmNbr,FLOOR,bld_descr50,bldrecnbr,bldsegname,bldsegnbr,dept_descr,dept_grp,dept_grp_descr,dept_grp_vp_area,dept_grp_vp_area_descr,deptid,downloaddate,fiscal_year,geometry,provost_flag,rmnbr,rmrecnbr,rmsqrft,rmstationcnt,rmtyp,rmtyp_descr50,rmtypgrp,rmtypgrp_descr50
18753,10002211B09,01,EDUCATION SCHOOL OF,1000221,ED SCHL,00,Institutional Org,INST_ORG,Institutional Departments,INSTITUTIONAL ORG,Institutional Departments,000500,2016-08-22T04:00:02,2016,,N,1B09,2035265,89.0,0,030,Mechanical Area,98,Non-Assignable Area
18754,10002211B18,01,EDUCATION SCHOOL OF,1000221,ED SCHL,00,Institutional Org,INST_ORG,Institutional Departments,INSTITUTIONAL ORG,Institutional Departments,000500,2016-08-22T04:00:02,2016,,N,1B18,2035266,90.0,0,030,Mechanical Area,98,Non-Assignable Area
18755,10002211C09,01,EDUCATION SCHOOL OF,1000221,ED SCHL,00,Institutional Org,INST_ORG,Institutional Departments,INSTITUTIONAL ORG,Institutional Departments,000500,2016-08-22T04:00:02,2016,,N,1C09,2035268,458.0,0,020,Circulation Area,98,Non-Assignable Area
18756,10002211C11,01,EDUCATION SCHOOL OF,1000221,ED SCHL,00,Institutional Org,INST_ORG,Institutional Departments,INSTITUTIONAL ORG,Institutional Departments,000500,2016-08-22T04:00:02,2016,,N,1C11,2035269,3262.0,0,020,Circulation Area,98,Non-Assignable Area
18757,10002211103,01,EDUCATION SCHOOL OF,1000221,ED SCHL,00,School of Education,SCHOOL_EDUCATION,School of Education,PRVST_EXC_VP_ACA_AFF,Provost & Exec VP Academic Aff,405000,2016-08-22T04:00:02,2016,,N,1103,2035270,74.0,0,315,Office Service,03,Office Facilities
18758,10002211C15,01,EDUCATION SCHOOL OF,1000221,ED SCHL,00,School of Education,SCHOOL_EDUCATION,School of Education,PRVST_EXC_VP_ACA_AFF,Provost & Exec VP Academic Aff,405000,2016-08-22T04:00:02,2016,,N,1C15,2035271,105.0,0,315,Office Service,03,Office Facilities
18759,10002211C21,01,EDUCATION SCHOOL OF,1000221,ED SCHL,00,Institutional Org,INST_ORG,Institutional Departments,INSTITUTIONAL ORG,Institutional Departments,000500,2016-08-22T04:00:02,2016,,N,1C21,2035272,616.0,0,020,Circulation Area,98,Non-Assignable Area
18760,10002211C29,01,EDUCATION SCHOOL OF,1000221,ED SCHL,00,Institutional Org,INST_ORG,Institutional Departments,INSTITUTIONAL ORG,Institutional Departments,000500,2016-08-22T04:00:02,2016,,N,1C29,2035273,1945.0,0,020,Circulation Area,98,Non-Assignable Area
18761,10002211C31,01,EDUCATION SCHOOL OF,1000221,ED SCHL,00,Institutional Org,INST_ORG,Institutional Departments,INSTITUTIONAL ORG,Institutional Departments,000500,2016-08-22T04:00:02,2016,,N,1C31,2035274,2598.0,0,020,Circulation Area,98,Non-Assignable Area
18762,10002211C41,01,EDUCATION SCHOOL OF,1000221,ED SCHL,00,Institutional Org,INST_ORG,Institutional Departments,INSTITUTIONAL ORG,Institutional Departments,000500,2016-08-22T04:00:02,2016,,N,1C41,2035275,70.0,0,020,Circulation Area,98,Non-Assignable Area
18763,10002211C49,01,EDUCATION SCHOOL OF,1000221,ED SCHL,00,Institutional Org,INST_ORG,Institutional Departments,INSTITUTIONAL ORG,Institutional Departments,000500,2016-08-22T04:00:02,2016,,N,1C49,2035276,820.0,0,020,Circulation Area,98,Non-Assignable Area
18764,10002211E09,01,EDUCATION SCHOOL OF,1000221,ED SCHL,00,Institutional Org,INST_ORG,Institutional Departments,INSTITUTIONAL ORG,Institutional Departments,000500,2016-08-22T04:00:02,2016,,N,1E09,2035277,60.0,0,020,Circulation Area,98,Non-Assignable Area
18765,10002211E41,01,EDUCATION SCHOOL OF,1000221,ED SCHL,00,Institutional Org,INST_ORG,Institutional Departments,INSTITUTIONAL ORG,Institutional Departments,000500,2016-08-22T04:00:02,2016,,N,1E41,2035279,22.0,0,020,Circulation Area,98,Non-Assignable Area
18766,10002211F23,01,EDUCATION SCHOOL OF,1000221,ED SCHL,00,Institutional Org,INST_ORG,Institutional Departments,INSTITUTIONAL ORG,Institutional Departments,000500,2016-08-22T04:00:02,2016,,N,1F23,2035280,115.0,0,020,Circulation Area,98,Non-Assignable Area
18767,10002211F31,01,EDUCATION SCHOOL OF,1000221,ED SCHL,00,Institutional Org,INST_ORG,Institutional Departments,INSTITUTIONAL ORG,Institutional Departments,000500,2016-08-22T04:00:02,2016,,N,1F31,2035281,85.0,0,020,Circulation Area,98,Non-Assignable Area
18768,10002211F35,01,EDUCATION SCHOOL OF,1000221,ED SCHL,00,Institutional Org,INST_ORG,Institutional Departments,INSTITUTIONAL ORG,Institutional Departments,000500,2016-08-22T04:00:02,2016,,N,1F35,2035282,142.0,0,020,Circulation Area,98,Non-Assignable Area
